ITEMID	LEGISLAT	CATEG	SCRUTIN	PAGE	POUR	CONTRE	TITLE
2087	2	"Other"	830	1680	100	403	"(PCF) q.pr.--budg."
2088	2	"Other"	832	1698	375	229	"Date for interpells. on Tunisia"
2089	2	"Other"	833	1760	100	513	"Rose Guerin: disj.-art. 1--budg."
2090	2	"Other"	837	1766	182	413	"Budg.--art. 6"
2091	2	"Other"	838	1793	343	227	"Budg.-art. 6 (informal q. of conf.)"
2092	2	"Other"	841	1798	213	352	"Budg.-Triboulet amend. (less aid for merch. marine)"
2093	2	"Other"	843	1801	207	368	"Budg.-Goudoux amend., art. 6"
2094	2	"Other"	852	1823	347	212	"Budg.-art. 6"
2095	2	"Other"	877	1969	331	206	"Budg.-art. 43 (fiscal amnesty)"
2096	2	"Random"	879	1972	207	338	"Budg.-Lambert amend. (pp. reevaluation of land-property)"
2097	2	"Confidence"	883	2015	325	206	"Bud&.-art. 7"
2098	2	"Confidence"	884	2017	456	100	"Budg.-art. 40"
2099	2	"Confidence"	885	2018	411	102	"Budg.-art. 44 (fiscal frauds)"
2100	2	"Confidence"	886	2020	448	100	"Budg.-art. 45 (fiscal frauds)(JO error)"
2101	2	"Confidence"	887	2021	449	100	"Budg.-art. 46 (sales without invoices)"
2102	2	"Confidence"	888	2023	445	100	"Budg.-art. 47 (no orders-of state forcondemned persons)"
2103	2	"Confidence"	889	2024	438	101	"Budg.-art. 48 (filling out invroices)"
2104	2	"Confidence"	893	2030	270	209	"Budg.-art. 6"
2105	2	"Confidence"	894	2032	259	210	"Budg.-Denais-Paquet amend (fiscal amnesty)"
2106	2	"Confidence"	895	2033	311	206	"Budg.--entirety"
2107	2	"Other"	899	2081	299	236	"pp. salary scale bill"
2108	2	"Other"	904	2145	392	100	"Retrospective budg.--milit. credits(Indo-China)"
2109	2	"Other"	922	2292	315	208	"Budg.--entirety (2 read)"
2110	2	"Other"	927	2430	208	328	"Fin. Com. report (loan bill)"
2111	2	"Other"	931	2436	324	208	"Govt. loan bill"
2112	2	"Other"	947	2597	333	276	"Govt. text--salary scale"
2113	2	"Other"	948	2598	554	65	"Ref. salary scale bill to con."
2114	2	"Confidence"	952	2632	295	253	"Salary scale"
2115	2	"Random"	974	2948	205	399	"Cut in proposed military pay"
2116	2	"Other"	986	3107	184	403	"(Algs. deputies) o.j.-Tunisia interpell(JO erroi)"
2117	2	"Other"	987	3109	109	469	"(SFIO) o.j.--Tunisia"
2118	2	"Other"	988	3110	99	516	"(PCF) o.j.--Tunisia"
2119	2	"Other"	989	3112	151	420	"(RPF) o.j.--Tunisia"
2120	2	"Other"	994	3119	200	412	"Vasser-o.j.--Tunisia"
2121	2	"Other"	995	3121	224	276	"(RPF) o.j.--Tunisia"
2122	2	"Other"	996	3122	258	328	"Mayer amend.-o.j.--Tunisia"
2123	2	"Other"	1005	3242	321	296	"Business agreements--publish in JO"
2124	2	"Other"	1012	3315	225	388	"Refer to AUF--comp. of AUF"
2125	2	"Other"	1014	3318	224	392	"Limited charge--AUF"
2126	2	"Other"	1017	3343	388	194	"Abrogate old law on AUF"
2127	2	"Other"	1019	3346	390	192	"Guitton amend.--AUF-art. 2"
2128	2	"Other"	1048	3620	409	206	"P.Coste Floret--priority o.j.(vine groing)"
2129	2	"Other"	1053	3656	267	216	"Com. of labor rep. on salary scale"
2130	2	"Other"	1057	3723	398	100	"Ramarony o.j.--agriculture"
2131	2	"Random"	1060	3773	100	409	"Manceau amend.--army recruitment"
2132	2	"Other"	1070	3867	243	173	"Business agreements--entirety"
2133	2	"Other"	1086	4151	222	388	"Agenda--entirety"
2134	2	"Other"	1119	4504	406	205	"To consider amnesty articles"
2136	2	"Other"	1134	4598	507	95	"Govt. m. pr.--reconstruction budg."
2137	2	"Other"	1146	4789	294	314	"End High Court of Justice"
2138	2	"Other"	1147	4791	311	293	"Dronne amend.--reduction budg.(overseas terrs.)"
2139	2	"Other"	1159	4938	315	258	"Montalat mpr ppr interior budg."
2140	2	"Other"	1174	5024	355	240	"Nat. ed. bud-.--art. 6 (scholarships)"
2141	2	"Other"	1176	5027	402	204	"Nat. ed. budg.--entirety (religious q.)"
2142	2	"Other"	1214	5374	440	144	"Montalat m.pr.--pp. interior budg."
2143	2	"Other"	1215	5391	271	240	"Savary q.pr.--pp. bueg. (ass. states)"
2144	2	"Random"	1223	5152	392	206	"Amnesty-art. 1--entirety"
2145	2	"Other"	1225	5455	214	311	"Special session to consider social aid"
2147	2	"Other"	1269	5658	287	314	"Agenda--entirety"
2148	2	"Other"	1285	5728	413	196	"Badie amend. to agenda (veterans' budg.)"
2149	2	"Other"	1286	5629	327	278	"Agenda"
2150	2	"Random"	1303	5816	395	208	"Amnesty--art. 10"
2151	2	"Other"	1306	5839	398	205	"Amnesty--art. 16 (ineligibles)"
2152	2	"Confidence"	1318	5949	314	207	"Against amends. to agenda"
2153	2	"Other"	1319	5979	210	319	"Pineau q.pr.--budg."
2154	2	"Other"	1321	5994	305	306	"Schmitt m-pr.--budg (increase war damage credits)"
2155	2	"Confidence"	1322	6081	300	291	"Budg.-against Midol m.pr."
2156	2	"Other"	1360	6272	337	272	"Meunier-disj. art. 1032-Budg."
2157	2	"Other"	1370	6390	317	110	"Interior budg.--entirety"
2158	2	"Other"	1379	6416	289	318	"Govt. disj.-art. 32 of special fun2(schools)"
2159	2	"Other"	1401	6628	321	256	"New art. 72--special fund (schools)"
2160	2	"Other"	3445	7008	158	435	"Priority of q. of conf. on art. 135"
2161	2	"Other"	1447	7043	305	287	"Session adjourn-ment"
2162	2	"Investiture"	1453	54	389	205	"Mayer"
2163	2	"Other"	1457	138	380	210	"pp. interpells (comp. of govt.)"
2164	2	"Other"	1461	184	343	271	"Milit. budg. for def. of ass. states"
2165	2	"Other"	1469	251	514	100	"Milit. budg.-ass. states, entirety"
2166	2	"Other"	1483	458	511	100	"Budg.-nat. def.-entirety"
2167	2	"Random"	1495	558	211	399	"Marzin amend-budg. (exclude ed. & relief~"
2168	2	"Other"	1499	564	219	320	"Morewe amend.-art. 6 of budg."
2169	2	"Other"	1501	567	254	358	"Lafay amend.-art. 6 of budg."
2170	2	"Other"	1512	583	355	235	"Massot amend.-a-,nnesty-French inenemy forces"
2171	2	"Other"	1523	634	371	214	"Budg.--entirety"
2172	2	"Other"	1558	844	198	343	"pp. interpells. on minister of health"
2173	2	"Other"	1568	906	513	101	"Budg.-nat. def. (2 read)"
2174	2	"Other"	1576	1013	412	205	"Investments budg.--entirety"
2175	2	"Other"	1584	1059	411	206	"Budg.--entirety (2 read)"
2176	2	"Other"	1597	1162	319	211	"Amnesty: French in enemy forces-entire"
2177	2	"Other"	1612	1275	324	216	"Amnesty: French in enemy forces (2 reae)"
2178	2	"Random"	1624	1343	100	412	"(PCF) amend--amnesty (extension to other groups)"
2179	2	"Random"	1646	1446	226	388	"Amnesty: Minjoz amend. to art. 31"
2180	2	"Other"	1649	1472	290	324	"Amnesty: amend. freeing those who in any way resisted"
2181	2	"Other"	1654	1523	413	88	"Fund for cinema devel.--entirety"
2182	2	"Other"	1693	1815	375	239	"Amnesty: Lipkowski amcnd---budg,-priority for control of guilty"
2183	2	"Other"	1695	1818	390	210	"Amnesty--entireLy"
2185	2	"Other"	1756	2309	257	221	"Conv. with Bank of France"
2186	2	"Other"	1768	2351	387	226	"Consideration of parl. irr:nunity"
2187	2	"Random"	1779	2492	133	485	"Grimaud amend.--land reform"
2188	2	"Other"	1784	2532	464	104	"Land reform--en'Lirety"
2189	2	"Other"	1798	2807	411	205	"Articles--financial reform"
2190	2	"Confidence"	1799	2843	244	328	"Fin. reform--art. 2"
2191	2	"Investiture"	1800	2891	276	235	"Reynaud"
2192	2	"Investiture"	1801	2982	301	119	"Mendes-France"
2193	2	"Investiture"	1802	3030	313	228	"Bidault"
2194	2	"Investiture"	1804	3115	272	209	"Andre-Marie"
2195	2	"Other"	1807	3170	398	206	"Laniel"
2196	2	"Other"	1812	3207	374	211	"pp. interpells (comp. of govt.)"
2197	2	"Other"	1844	3391	318	273	"Fin. reform: special powers for eco. expansion"
2198	2	"Other"	1851	3402	314	267	"Fin. reform--entirety"
2199	2	"Other"	1867	3498	302	268	"Fin. reform (2 read)"
2200	2	"Other"	1808	3521	307	243	"pp. interpells--July 14 riots"
2201	2	"Random"	1886	3654	304	204	"Catroux amend.--customs duty"
2202	2	"Random"	1906	3700	97	515	"Cristofol, amend.-rev. constit.-art. 14"
2203	2	"Other"	1924	3818	468	127	"Rev. constit.--entirety"
2204	2	"Other"	1942	3970	378	211	"Amnesty (2 read)"
2205	2	"Other"	1943	4209	242	299	"(SFIO) o.j.--social situation"
2206	2	"Other"	1944	4211	220	389	"(PCF) o.j.--social situation"
2207	2	"Other"	1962	4523	320	252	"O.j. interpells. on agric. policy"
2208	2	"Other"	1967	4629	248	313	"(SF10) o.j.--Indo-China"
2209	2	"Other"	1968	4630	101	403	"(PCF) o.j.--Indo-China"
2210	2	"Other"	1970	4633	266	306	"0.j.-Palowskj amend.--Indo-China"
2211	2	"Other"	1971	4635	315	257	"Kuehn o.j.--Indo-China"
2212	2	"Random"	1995	4830	101	514	"Giovoni amend.-- exterior budg. (no cred--''for Eur. nuclear physics)"
2213	2	"Other"	1999	4945	302	291	"Parl. immunity (PCF benefits)"
2214	2	"Other"	2000	4947	511	97	"French-Saar agreement"
2215	2	"Other"	2021	5094	361	224	"Moro-Giafferi o.j.--ENA exams"
2216	2	"Random"	2026	5183	131	354	"Sauer amend.--budg. (custoitiss)"
2217	2	"Other"	2033	5437	215	372	"Silvandre m.pr.--budge.-overseas Fr."
2218	2	"Other"	2044	5536	234	313	"(SF10) priority o.j.--EDC"
2219	2	"Random"	2056	5619	410	207	"Bud&.-economic affairs--entirety"
2220	2	"Confidence"	2057	5639	275	244	"Against Garet o.j.--foreign policy"
2221	2	"Random"	2110	6219	249	370	"Coutant m.pr.--budg. P.T.T."
2222	2	"Other"	2116	6276	477	81	"Billeres m.pr.(pp. Nat. ed. budg.)"
2223	2	"Random"	2117	6291	334	214	"pp. Galioier interpell (family aid increase)"
2224	2	"Random"	2182	6810	208	388	"Rochet etc. amends.-budz. radio & TV"
2225	2	"Random"	2247	7255	403	208	"Budg.-industry and commerce"
2226	2	"Other"	2255	39	319	249	"pp. interpells.--general policy"
2227	2	"Other"	2263	369	272	294	"(SF10) priority o.j. (salary scale)"
2228	2	"Other"	2266	374	390	223	"(MRP) o.j. (salary scale)"
2229	2	"Other"	2305	786	333	271	"Sesmaisons-priority o.j.-Indo-China"
2230	2	"Other"	2326	1150	385	204	"Nat. Def. bud,-.--entiretv"
2231	2	"Other"	2352	1476	320	245	"Fiscal relform--entirety"
2232	2	"Other"	2359	1526	208	361	"Pierrard m.pr.--Nat. ed. budg."
2233	2	"Other"	2368	1613	293	230	"Nat.Def. budg. (2 read)"
2234	2	"Other"	2382	1754	257	346	"Lempereur amend.--Nat. Ed. budg."
2235	2	"Other"	2384	1757	333	254	"Nat. Ed. bud&.--entirety"
2236	2	"Random"	2387	1795	250	361	"Rochet amend.-agenda (agriculture)"
2237	2	"Other"	2408	2013	336	238	"Fiscal reform (2 read)"
2238	2	"Other"	2410	2057	348	236	"Nat. Ed. budg. (2 re ad)"
2239	2	"Confidence"	2414	2188	311	262	"pp. interpells.--lndo-China"
2240	2	"Random"	2431	2287	100	497	"Patinaud amend.--press properties"
2241	2	"Random"	2436	2310	495	100	"Reg. of customs at Madagascar (mineral oil)"
2242	2	"Confidence"	2453	2412	289	287	"pp. interpells.--Indo-China"
2243	2	"Other"	2504	2605	462	101	"Press properties"
2244	2	"Other"	2513	2706	219	391	"Agenda--entirety"
2245	2	"Other"	2521	2888	263	322	"Raingeard--priority o.j.-Indo-Chlna"
2246	2	"Confidence"	2528	2988	293	306	"o.j. Indo-China"
2247	2	"Investiture"	2529	3037	419	47	"Mondes-France"
2249	2	"Other"	2531	3115	168	426	"amends.--aid to farm families"
2251	2	"Random"	2553	3435	208	395	"Minjoz counter-- b il 1- - co-.,,--,er c al rents"
2252	2	"Confidence"	2567	3613	180	385	"Pflimlin priority o.j.-Indo-China"
2253	2	"Other"	2570	3617	455	86	"Delbos o.j.--Indo-China (no zeditions--Geneva accords)"
2254	2	"Other"	2571	3619	462	13	"Delbos'& Valabregue o.i.--In_'D-Chna"
2255	2	"Confidence"	2596	4067	361	90	"Special financial powers"
2256	2	"Other"	2597	4069	397	114	"pp. interpells. Tunisia & Morocco"
2257	2	"Other"	2598	4092	353	150	"Badie m.pr.--rev.constit. (EDC)"
2258	2	"Other"	2608	4179	431	57	"Overseas municipalities (Afrfica)"
2259	2	"Other"	2611	4205	340	102	"Special financial powers (2 read)"
2260	2	"Other"	2617	4370	419	112	"Aubry o.j.--Tunisia & Morocco"
2261	2	"Other"	2618	4371	371	215	"Aubry o.j.--French interests in India"
2262	2	"Confidence"	2619	4473	319	264	"Herriot q.pr.--FDC co,"
2263	2	"Other"	2620	4498	407	151	"pp. interpells--foreign polic,"
2264	2	"Confidence"	2622	4685	350	113	"Foreign policy & London agreement"
2265	2	"Other"	2623	4740	391	216	"Agenda"
2266	2	"Confidence"	2634	4862	320	207	"Budg. P.T.T."
2267	2	"Other"	2646	4981	312	272	"pp. interpells--Algeria"
2268	2	"Other"	2649	5060	208	404	"Thamier q.pr.--agricul. education"
2269	2	"Random"	2651	5085	100	320	"Patinaud m.pr.--labor budg"
2270	2	"Confidence"	2672	5433	268	216	"Manceau amend.--agricult. budg."
2271	2	"Other"	2686	5568	483	128	"Agricul. budg.--entirety"
2272	2	"Other"	2691	5615	307	305	"Amend.-art. 6--Rev. constit."
2273	2	"Other"	2692	5616	309	197	"Art. 6--Rev. constit."
2274	2	"Confidence"	2693	5632	412	141	"Rev. constit.--entirety"
2275	2	"Other"	2697	5792	287	240	"(MRP) o.j.-interpells--subversion"
2276	2	"Confidence"	2716	6116	294	265	"Mailhe o.j.--North Africa"
2277	2	"Confidence"	2737	6543	298	289	"Session at ll:30 pm--budg. of ass. states"
2278	2	"Other"	2738	6545	293	295	"Budg. of ass. states"
2279	2	"Confidence"	2743	6644	310	172	"Budg. of ass. states"
2280	2	"Other"	2744	6861	183	416	"Badie m.pr.--Paris accords (S-nar)"
2281	2	"Other"	2745	6862	259	280	"Art. 1, Paris accords (military issues)"
2282	2	"Other"	2748	6867	393	180	"Entirety--Paris accords (Bonn)"
2283	2	"Other"	2749	6868	361	147	"Accords on Saar"
2284	2	"Confidence"	2750	6901	289	251	"Arts. 2 & 3-Paris accords"
2285	2	"Confidence"	2752	6959	287	256	"Paris accords--entirety"
2286	2	"Random"	2753	6977	516	100	"Budg. (Justice ministry)"
2287	2	"Confidence"	2762	7005	287	260	"Paris accords- entirety"
2288	2	"Confidence"	2785	464	262	304	"Lempereur amend.-q.pr.--specialTreasury fund"
2289	2	"Confidence"	2809	522	278	314	"Provisional civil service credits"
2290	2	"Confidence"	2821	782	273	319	"Mailhe o.j.--,North Africa"
2291	2	"Investiture"	2822	863	268	312	"Pineau"
2292	2	"Investiture"	2823	898	369	210	"Faure"
2293	2	"Other"	2841	1097	213	369	"W-Rochet m.pr.--budg. (burdened communes)"
2294	2	"Other"	2843	1206	249	342	"Lamps-disj. (burdened communes)"
2295	2	"Random"	2875	1648	296	263	"Aminds--radio-TV budg."
2296	2	"Other"	2881	1703	211	374	"(PCF) m.pr.--Budg."
2297	2	"Other"	2882	1705	240	335	"Caillet m.pr.--Budg."
2298	2	"Other"	2883	1706	213	371	"Meunier m.pr.--Budg."
2299	2	"Confidence"	2892	1803	384	213	"Budg.--entirety"
2300	2	"Random"	2900	1891	289	285	"Suspension of session"
2301	2	"Random"	2919	2101	304	157	"Special fin. powers~-amend. problem"
2302	2	"Other"	2922	2106	302	269	"Special fin. powers"
2303	2	"Other"	2924	2149	216	384	"Bendjelloul q.pr.--state of emerg."
2304	2	"Other"	2925	2150	102	388	"(PCF) q.pr.--state of emerg."
2305	2	"Other"	2926	2152	219	383	"Bendjelloul m.pr.--state of emerg."
2306	2	"Other"	2927	2153	217	384	"Bendjelloul m.pr.--state of emerg."
2307	2	"Other"	2977	2289	361	227	"Emergency law--entirety"
2308	2	"Random"	2985	2373	160	391	"Tourtaud amend.-budg. of burdenea communes"
2309	2	"Other"	2992	2506	340	272	"Agenda (agricul. education"
2310	2	"Random"	2994	2509	217	397	"Tourtaud q.pr.--agricul. education"
2311	2	"Random"	2998	2605	396	214	"Agenda--entirety"
2312	2	"Random"	3010	2792	210	394	"Andre amend.--commercial rents"
2313	2	"Other"	3018	2819	378	235	"Budg. P.T.T."
2314	2	"Other"	3038	2991	404	210	"Rev. Constit."
2315	2	"Other"	3040	3053	494	120	"Modernization of equipment (2nd :-.!an)"
2316	2	"Random"	3050	3220	397	221	"Date--Benbahmed interpell.--Algeria"
2317	2	"Random"	3115	3580	309	276	"Laurens amend.--agricul. education"
2318	2	"Other"	3151	3596	310	276	"Agricul. education--entirety"
2319	2	"Other"	3162	3780	538	44	"French-Tunisians accords"
2320	2	"Random"	3177	3946	209	397	"Laissae amend.--aid to farm families"
2321	2	"Random"	3188	4029	373	210	"Plushet amend.--to change rules"
2322	2	"Other"	3232	4559	217	371	"Fayet bill--(Algerian emergency)"
