MID	NAME	ID1	ID2	ID3	PARTY1	PARTY2	PARTY3	PARTY1N	PARTY2N	PARTY3N	GMP12	X12	Y12	CLA12_O	X12_O	Y12_O	GMP22	X22	Y22	CLA22_O	X22_O	Y22_O	GMP32	X32	Y32	CLA32_O	X32_O	Y32_O	DIM1PL	DIM2PL	CLA_PO	X_PO	Y_PO	SCAL7121	SCAL7122	SCAL7111	SCAL7112	SCALE781	SCALE782	SCALE751	SCALE752	SCALE741	SCALE742	SCA7101	SCA7102	SCA7103	SCA731	SCA732	SCA771	SCA772	SCA761	SCA762	SCA791	SCA792	MORICE
159	"Bourges-M."	101	82	81	"Radical-Soc."	"Radical-Soc."	"Radical-Soc."	"Radical"	"Radical"	"Radical"	.787	.569	.46	.942	.4747752	.3995376	.822	.705	.623	.95	.277248	.1277412	.883	.501	.708	.979	.2645792	.8517072	-.596	-.022	.916	.024	-.916					2											0	2			4	2	0
160	"Boutard"	102		82	"Communiste"	"Not seated"	"Communiste"	"Communist"	"Not Seated"	"Communist"	.975	-.722	-.487	.997	-.856152	-.5085024							.991	-.844	-.536	1	-1.208443	-.3879504	.774	-.149	.998	.226	.742																						
161	"Boutavant"	103	83	83	"Communiste"	"Communiste"	"Communiste"	"Communist"	"Communist"	"Communist"	.975	-.722	-.487	.997	-.856152	-.5085024	.966	-.945	-.328	1	-.997728	-.1787281	.992	-.847	-.531	1	-1.208443	-.3879504	.811	-.342	.999	.011	.803																						
162	"Boutbien"		84		"Not seated"	"Socialiste"	"Not seated"	"Not seated"	"Socialist"	"Not Seated"							.946	.245	.627	1	-.663936	.216557							-.196	-.758	1	.157	-.173																						
163	"Bouvier-O'C"	105	85		"PRL"	"RPF, URAS, RS"	"Not seated"	"Right"	"Gaullist"	"Not Seated"	.848	.177	.984	.997	-.0466992	1.489186	.842	.691	-.723	.944	.253536	-.1195175							-.057	.358	.965	.005	-.062							4	2						4	4							
164	"Bouvier"	104			"PRL"	"Not seated"	"Not seated"	"Right"	"Not Seated"	"Not Seated"	.777	.345	.938	.928	.4981248	2.251939													-.447	.525	.945	.044	-.482														1	4							
165	"Bouxom"	106	86	84	"MRP"	"MRP"	"MRP"	"Christian Democrat"	"Christian Democrat"	"Christian Democrat"	.935	.851	.259	.997	.5500128	-.1634472	.726	.701	.34	.919	.370272	.0120614	.9	.61	.788	.972	.289848	.2764704	-.527	-.051	.963	.018	-.498			0	1							2	"dissident"	0									
166	"Bouyer"			85	"Not seated"	"Not seated"	"Uff (Poujade)"	"Not seated"	"Not Seated"	"Poujadist"													.932	.805	-.593	.993	.14864	-1.028589	.21	.524	.985	.002	.245																						
167	"Boysson"	107			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.949	-.486	-.42	1	-.7497816	0													.219	.251	1	.003	.18																						
168	"Branimi"		87		"Not seated"	"Socialiste"	"Not seated"	"Not seated"	"Socialist"	"Not Seated"							.94	.253	.654	.997	-.627456	.2061404							-.194	-.749	.997	.165	-.174																						
169	"Brard"			86	"Not seated"	"Not seated"	"IPAS"	"Not seated"	"Not Seated"	"Right"													.867	.954	.13	.977	.7996832	-.3388992	-.487	.481	.969	.313	-.416																		1	3			
170	"Brault"	108	88		"Communiste"	"Communiste"	"Not seated"	"Communist"	"Communist"	"Not Seated"	.989	-.861	-.508	1	-1.027382	-.4358592	.965	-.943	-.333	1	-.997728	-.1787281							.802	-.337	1	.012	.799																						
171	"Braun"	109			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.989	-.861	-.509	1	-1.027382	-.4358592													.587	0	1	.452	.654																						
172	"Bretin"			87	"Not seated"	"Not seated"	"Uff (Poujade)"	"Not seated"	"Not Seated"	"Poujadist"													.926	.811	-.585	.993	.1620176	-.981024	.36	.621	.985	.159	.333																						
173	"Bricout"		89	88	"Not seated"	"RPF, URAS, RS"	"Rep. Soc."	"Not seated"	"Gaullist"	"Gaullist"							.813	.619	-.786	.942	.107616	-.1990132	.747	.709	-.09	.897	.1724224	-.1739088	-.029	.353	.908	.006	-.023							0	1														
174	"Briffod"		90	89	"Not seated"	"Socialiste"	"Not seated"	"Not seated"	"Socialist"	"Not Seated"							.934	.242	.535	1	-.660288	.1962719	.959	.299	.954	1	-.0535104	.6599616	-.105	-.816	1	.037	-.081																						
175	"Brillouet"	110			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.989	-.861	-.508	1	-1.027382	-.4358592													.587	0	1	.437	.654																						
176	"Briot"		91		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Gaullist"	"Not Seated"							.836	.653	-.758	.937	.12768	-.2012061							-.017	.351	.943	.037	-.014							2	1														
177	"Brocas"			90	"Not seated"	"Not seated"	"Radical-Soc."	"Not seated"	"Not Seated"	"Radical"													.859	.61	.508	.962	.3522768	.2407968	-.596	.016	.962	.071	-.634																				4	2	0
178	"Bruelle"			91	"Not seated"	"Not seated"	"Radical-Soc."	"Not seated"	"Not Seated"	"Radical"													.756	.608	.249	.909	.1099936	.1724224	-.007	-.007	.901	.038	.004																						
179	"Brunet"		92		"Not seated"	"Not seated"	"Not seated"	"Not seated"	"Not Seated"	"Not Seated"																																													
180	"Brusset"	111	93	92	"PRL"	"RPF, URAS, RS"	"Not seated"	"Right"	"Gaullist"	"Not Seated"	.848	.17	.985	.986	-.0441048	1.496969	.859	.673	-.739	.95	.23712	-.216557	.783	.764	.048	.922	.3983552	-.1426944	-.056	.343	.951	.002	-.057							3	1						4	4							
