MID	NAME	ID1	ID2	ID3	PARTY1	PARTY2	PARTY3	PARTY1N	PARTY2N	PARTY3N	GMP12	X12	Y12	CLA12_O	X12_O	Y12_O	GMP22	X22	Y22	CLA22_O	X22_O	Y22_O	GMP32	X32	Y32	CLA32_O	X32_O	Y32_O	DIM1PL	DIM2PL	CLA_PO	X_PO	Y_PO	SCAL7121	SCAL7122	SCAL7111	SCAL7112	SCALE781	SCALE782	SCALE751	SCALE752	SCALE741	SCALE742	SCA7101	SCA7102	SCA7103	SCA731	SCA732	SCA771	SCA772	SCA761	SCA762	SCA791	SCA792	MORICE
300	"Crouan"		162	153	"Not seated"	"Rep. Indep."	"IPAS"	"Not seated"	"Right"	"Right"							.844	.859	.456	.974	.75696	.0882675	.821	.893	.156	.971	.676312	-.3329536	-.276	.484	.955	.015	-.173																		2	1			
301	"Crouzier"	181	163	154	"PRL"	"Rep. Indep."	"IPAS"	"Right"	"Right"	"Right"	.825	.308	.952	.99	.168636	1.369843	.822	.827	-.201	.921	.691296	-.1151316	.844	.901	-.064	.967	.4488928	-.364168	-.26	.404	.946	.025	-.296									0	2				3	2			3	3			
302	"Cudenet"	182			"Radical-Soc."	"Not seated"	"Not seated"	"Radical"	"Not Seated"	"Not Seated"	.767	.502	.422	.932	.4566144	.4488312													-.521	.071	.943	.003	-.562																0						
303	"Cuicci"			155	"Not seated"	"Not seated"	"Uff (Poujade)"	"Not seated"	"Not Seated"	"Poujadist"													.938	.794	-.607	.992	.1426944	-1.073181	.389	.64	.985	.237	.363																						
304	"Cuitton"			278	"Not seated"	"Not seated"	"Socialiste"	"Not seated"	"Not Seated"	"Socialist"													.946	.284	.959	1	-.0549968	.661448	-.114	-.787	1	.121	-.07																						
305	"Cupfey"			156	"Not seated"	"Not seated"	"Radical-Soc."	"Not seated"	"Not Seated"	"Radical"													.765	.53	.249	.929	.0728336	.4191648	-.471	-.329	.913	.019	-.045																				4	"favor school aid"	0
306	"Dagain"	183	164	157	"Socialiste"	"Socialiste"	"Socialiste"	"Socialist"	"Socialist"	"Socialist"	.95	.699	-.715	.982	.4592088	-.8146416	.946	.245	.627	1	-.663936	.216557	.929	.337	.941	.989	-.0237824	.6272608	-.152	-.764	.993	.021	-.129																						
307	"Daladier"	184	165	158	"Radical-Soc."	"Radical-Soc."	"Radical-Soc."	"Radical"	"Radical"	"Radical"	.747	.346	.457	.916	.1504752	1.063704	.684	.561	.531	.909	.093024	.223136	.697	.487	.084	.86	.0133776	.3091712	-.148	-.194	.827	.002	-.149					1	0										2	4			4	"favor school aid"	0
308	"Damas"	185			"Socialiste"	"Not seated"	"Not seated"	"Socialist"	"Not Seated"	"Not Seated"	.922	.66	-.751	.97	.4592088	-.8146416													-.136	-.823	.976	.08	-.123																						
309	"Damette"		166		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Gaullist"	"Not Seated"							.822	.613	-.79	.955	.129504	-.1847588							-.017	.351	.925	.029	-.012							0	1														
310	"Daniasio"			159	"Not seated"	"Not seated"	"Uff (Poujade)"	"Not seated"	"Not Seated"	"Poujadist"													.946	.814	-.581	1	.1248576	-1.022643	.21	.524	.993	.002	.245																						
311	"Darou"	186	167	160	"Socialiste"	"Socialiste"	"Socialiste"	"Socialist"	"Socialist"	"Socialist"	.95	.698	-.716	.982	.4592088	-.8146416	.947	.245	.627	1	-.663936	.216557	.937	.337	.942	.994	-.0282416	.6287472	-.149	-.79	.994	.008	-.127	0	2																				
312	"Darras"	187			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.99	-.859	-.511	1	-1.027382	-.4358592													.587	0	1	.449	.654																						
313	"Dassault"		168		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Gaullist"	"Not Seated"							.834	.708	-.631	.969	.25536	-.1167763							-.066	.401	.979	.004	-.067							2	3														
314	"Dassonville"	188	169		"Communiste"	"Communiste"	"Not seated"	"Communist"	"Communist"	"Not Seated"	.989	-.861	-.508	1	-1.027382	-.4358592	.965	-.943	-.333	1	-.997728	-.1787281							.802	-.337	1	.013	.799																						
315	"David J-P"	189	170	161	"Radical-Soc."	"Radical-Soc."	"Rad. (Faure)"	"Radical"	"Radical"	"Radical"	.785	.45	.382	.913	.5500128	.5552016	.814	.724	.63	.956	.403104	.2384868	.755	.711	.225	.916	.572264	.0951296	-.452	.148	.901	.008	-.459					2	1										1	3					
316	"David M."	190	171	162	"Socialiste"	"Socialiste"	"Socialiste"	"Socialist"	"Socialist"	"Socialist"	.95	.698	-.716	.982	.4592088	-.8146416	.946	.246	.626	1	-.663936	.216557	.94	.379	.925	.994	.0044592	.5930736	-.154	-.764	.994	.015	-.129	1	2																				
317	"Davoust"			163	"Not seated"	"Not seated"	"Uff (Poujade)"	"Not seated"	"Not Seated"	"Poujadist"													.936	.802	-.598	.993	.14864	-1.028589	.21	.524	.986	.002	.245																						
318	"Debaghine"	191			"Not seated"	"Not seated"	"Not seated"	"Not seated"	"Not Seated"	"Not Seated"																																													
319	"Deboudt"		172		"Not seated"	"Rep. Indep."	"Not seated"	"Not seated"	"Radical"	"Not Seated"							.856	.809	.175	.931	.534432	.0137061							-.908	-.002	.941	.014	-.35					2																	
320	"Defferre"	192	173	164	"Socialiste"	"Socialiste"	"Socialiste"	"Socialist"	"Socialist"	"Socialist"	.928	.716	-.48	.991	.5136912	-.6330336	.947	.246	.622	1	-.663936	.216557	.931	.375	.874	.987	-.0386464	.5559136	-.172	-.701	.988	.009	-.127	0	2																				
321	"Defos du Rau"	193	174		"MRP"	"MRP"	"Not seated"	"Christian Democrat"	"Christian Democrat"	"Not Seated"	.882	.783	.264	.981	.635628	-.12972	.723	.732	.368	.907	.370272	.0120614							-.521	-.04	.943	.003	-.519			3	2							2	"not dissident"	0									
322	"Defrance"			165	"Not seated"	"Not seated"	"Communiste"	"Not seated"	"Not Seated"	"Communist"													.992	-.844	-.537	1	-1.208443	-.3879504	.766	0	1	.25	.826																						
323	"Degoutte"		175	166	"Not seated"	"Radical-Soc."	"Not seated"	"Not seated"	"Radical"	"Not Seated"							.723	.59	.743	.917	.244416	.2390351	.81	.582	.365	.941	.1085072	.4340288	-.538	-.292	.887	.003	-.5					1	0														4		0
324	"Degrond"	195	176	167	"Socialiste"	"Socialiste"	"Socialiste"	"Socialist"	"Socialist"	"Socialist"	.95	.697	-.717	.982	.4592088	-.8146416	.945	.244	.64	1	-.663936	.216557	.952	.364	.931	1	0	.5767232	-.151	-.761	.995	.014	-.129	1	2																				
325	"Deixonne"	196	177	168	"Socialiste"	"Socialiste"	"Socialiste"	"Socialist"	"Socialist"	"Socialist"	.95	.698	-.716	.982	.4592088	-.8146416	.945	.245	.622	1	-.663936	.216557	.951	.354	.935	1	0	.5767232	-.151	-.761	.995	.016	-.129	1	2																				
326	"Dejean"		178	169	"Not seated"	"Socialiste"	"Socialiste"	"Not seated"	"Socialist"	"Socialist"							.938	.251	.627	.997	-.627456	.2061404	.952	.356	.935	1	0	.5767232	-.161	-.713	.998	.058	-.168																						
327	"Delabre"		179	170	"Not seated"	"Socialiste"	"Socialiste"	"Not seated"	"Socialist"	"Socialist"							.927	.276	.865	1	-.594624	.2028509	.952	.364	.931	1	0	.5767232	-.161	-.713	1	.078	-.172																						
328	"Delachenal"	197	180	171	"Rep. Dem. Soc."	"Ind. Paysan"	"IPAS"	"Right"	"Right"	"Right"	.765	.386	.588	.911	.337272	1.087054	.787	.755	.232	.924	.388512	.0860746	.788	.759	.17	.915	.4786208	-.081752	-.361	.22	.911	.002	-.324									0	0				1				0	2			
329	"Delahoutre"	198			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.915	.796	.452	.985	.5941176	0													-.526	-.009	.985	.008	-.524											2	"not dissident"	1									
330	"Delbez"		181		"Not seated"	"Rep. Indep."	"Not seated"	"Not seated"	"Right"	"Not Seated"							.889	.953	.143	.972	.749664	.0466009							-.48	.427	.968	.088	-.447									3	0												
331	"Delbos"	199	182		"Radical-Soc."	"Radical-Soc."	"Not seated"	"Radical"	"Radical"	"Not Seated"	.885	.718	.002	.968	.5007192	.246468	.827	.684	.73	.973	.38304	.2938597							-.908	-.267	.942	.017	-.913					2	0										0	0					
332	"Delcos"	200	183		"Radical-Soc."	"Radical-Soc."	"Not seated"	"Radical"	"Radical"	"Not Seated"	.869	.612	.351	.981	.5110968	.4202928	.756	.647	.548	.918	.30096	.1973684							-.921	-.211	.913	.017	-.926					0	1																
333	"Deliaune"		184		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Gaullist"	"Not Seated"							.844	.661	-.751	.943	.215232	-.1694079							-.039	.353	.967	.023	-.039							2	2														
334	"Delmotte"		185		"Not seated"	"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"							.789	.754	.42	.947	.384864	.0202851							-.501	-.061	.953	.04	-.508			1	2																		
335	"Demusois"		186	173	"Not seated"	"Communiste"	"Communiste"	"Not seated"	"Communist"	"Communist"							.966	-.945	-.328	1	-.997728	-.1787281	.992	-.844	-.536	1	-1.208443	-.3879504	.803	-.335	1	.013	.804																						
336	"Denais"	202			"PRL"	"Not seated"	"Not seated"	"Right"	"Not Seated"	"Not Seated"	.818	.36	.933	.99	.220524	1.286822													-.325	.419	.99	.002	-.335														3	1							
337	"Denais J"		187		"Not seated"	"Rep. Indep."	"Not seated"	"Not seated"	"Right"	"Not Seated"							.843	.972	-.117	.948	.658464	-.0910088							-.214	.595	.936	.003	-.292									3	2												
338	"Denis Alph."	203	188	174	"Communiste"	"Communiste"	"Communiste"	"Communist"	"Communist"	"Communist"	.956	-.562	-.827	.994	-.856152	-.5085024	.955	-.952	-.305	.997	-.990432	-.1770833	.991	-.839	-.544	1	-1.208443	-.5009168	.811	-.342	.998	.003	.795																						
339	"Denis Andre"	204	189		"MRP"	"MRP"	"Not seated"	"Christian Democrat"	"Christian Democrat"	"Not Seated"	.728	.559	-.039	.923	.5344464	-.2438736	.672	.522	.193	.836	-.093024	.1595395							-.332	-.393	.869	.002	-.314			0	0							2	"dissident"	1									
340	"Deniuso-s"	201			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.989	-.773	-.627	1	-.7497816	-.2905728													.324	.208	1	.501	.341																						
341	"Denvers"			175	"Not seated"	"Not seated"	"Socialiste"	"Not seated"	"Not Seated"	"Socialist"													.952	.361	.933	1	0	.5767232	-.147	-.719	1	.117	-.086																						
342	"Depreux"	205	190	176	"Socialiste"	"Socialiste"	"Socialiste"	"Socialist"	"Socialist"	"Socialist"	.929	.703	-.52	.97	.4592088	-.8146416	.946	.245	.627	1	-.663936	.216557	.955	.28	.96	1	-.0564832	.6644208	-.148	-.794	.991	.021	-.14	0	2																				
343	"Derdour"	206			"Non Inscrit"	"Not seated"	"Not seated"	"Radical"	"Not Seated"	"Not Seated"	.725	.361	-.933	.935	.2646288	-.207552													-.201	-.21	.935	.021	-.203																	4					
344	"Desgranges"		191		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Gaullist"	"Not Seated"							.852	.649	-.761	.953	.20976	-.1924342							-.025	.365	.953	.024	-.017							2	1								1	1					
345	"Deshors"	207	192		"Act. Pays Soc."	"Ind. Paysan"	"Not seated"	"Right"	"Right"	"Not Seated"	.807	.387	.777	.953	.3087336	1.100026	.759	.792	-.399	.898	.70224	-.127193							-.362	.353	.91	.011	-.349									2	2												
346	"Desjardins"	208			"PRL"	"Not seated"	"Not seated"	"Right"	"Not Seated"	"Not Seated"	.844	.368	.93	.99	.1738248	1.32055													-.334	.42	.981	.04	-.336														3	2							
347	"Desouche"			177	"Not seated"	"Not seated"	"Radical-Soc."	"Not seated"	"Not Seated"	"Radical"													.889	.515	.546	.987	.0698608	.4147056	-.041	-.143	.981	.017	-.045																				4	"favor school aid"	0
348	"DeSoutte"	194			"Radical-Soc."	"Not seated"	"Not seated"	"Radical"	"Not Seated"	"Not Seated"	.784	.517	.263	.943	.4851528	.4202928													-.535	.075	.923	.014	-.522																						
349	"Desson"	209	193	178	"Socialiste"	"Socialiste"	"Socialiste"	"Socialist"	"Socialist"	"Socialist"	.938	.707	-.707	.978	.4592088	-.8146416	.934	.242	.533	1	-.660288	.1962719	.955	.29	.957	1	-.0564832	.6644208	-.102	-.807	.994	.006	-.11	0	0																				
350	"Detoeuf"		194		"Not seated"	"Rep. Indep."	"Not seated"	"Not seated"	"Right"	"Not Seated"							.865	.855	.174	.944	.543552	.0065789							-.923	.001	.931	.044	-.3									1	0												
351	"Devemy"	210	195		"MRP"	"MRP"	"Not seated"	"Christian Democrat"	"Christian Democrat"	"Not Seated"	.903	.751	.241	.988	.5811456	-.1634472	.728	.695	.32	.909	.372096	.0065789							-.5	-.088	.945	.006	-.516			1	2							2	"not dissident"	0									
352	"Devinat"	211	196	179	"Radical-Soc."	"Radical-Soc."	"Radical-Soc."	"Radical"	"Radical"	"Radical"	.843	.606	.26	.965	.5811456	.4903416	.798	.671	.742	.958	.386688	.3108553	.833	.58	.394	.953	.089184	.2734976	-.628	.016	.915	.009	-.62					3	0										1	0				2	1
353	"Dewarque"			172	"Not seated"	"Not seated"	"Uff (Poujade)"	"Not seated"	"Not Seated"	"Poujadist"													.887	.899	-.438	1	.4370016	-1.076154	.008	.697	.971	.26	.053																						
354	"Dewasmes"			180	"Not seated"	"Not seated"	"Not seated"	"Not seated"	"Not Seated"	"Not Seated"																																													
355	"Dezarnaulds"	212	197		"Radical-Soc."	"Radical-Soc."	"Not seated"	"Radical"	"Radical"	"Not Seated"	.803	.545	.178	.937	.5500128	.337272	.744	.595	.804	.909	.195168	.2697369							-.7	-.472	.883	.07	-.617					1	0										0	0					
356	"Dhers"	213			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.936	.757	.308	1	.5941176	0													-.519	-.015	.997	.013	-.509											1	"not dissident"	1									
357	"Dia"			181	"Not seated"	"Not seated"	"Ind. Outremer"	"Not seated"	"Not Seated"	"Right"													.674	.542	.233	.899	.2482288	.327008	-.401	-.128	.91	.047	-.382																						
358	"Diallo"	214	198	182	"Socialiste"	"Socialiste"	"UDSR"	"Socialist"	"Socialist"	"Radical"	.931	.661	-.664	.976	.4592088	-.8250192	.912	.244	.58	.995	-.687648	.2083333	.834	.563	.395	.938	.0163504	.2734976	-.135	-.735	.967	.005	-.163																				1	"favor school aid"	0
359	"Diat"			183	"Not seated"	"Not seated"	"Communiste"	"Not seated"	"Not Seated"	"Communist"													.991	-.84	-.543	1	-1.208443	-.5009168	.766	0	1	.247	.826																						
360	"Dicko"		199	184	"Not seated"	"Socialiste"	"Socialiste"	"Not seated"	"Socialist"	"Socialist"							.929	.253	.593	.994	-.65664	.2033991	.876	.492	.791	.986	.274984	.981024	-.246	-.797	.987	.049	-.225																						
361	"Dides"			185	"Not seated"	"Not seated"	"Uff (Poujade)"	"Not seated"	"Not Seated"	"Poujadist"													.844	.977	-.208	.978	.6228016	-.5930736	-.156	.801	.964	.04	.014																						
362	"Dienesch"	215	200	186	"MRP"	"MRP"	"MRP"	"Christian Democrat"	"Christian Democrat"	"Christian Democrat"	.942	.851	.204	1	.5759568	-.168636	.799	.752	.417	.954	.384864	.0202851	.911	.615	.754	.98	.3136304	.252688	-.511	-.048	.979	.021	-.502			1	2							2	"not dissident"	0									
363	"Diethelm"		201		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Gaullist"	"Not Seated"							.917	.673	-.739	.988	.25536	-.2017544							-.005	.337	.994	.052	.001							2															
364	"Diori"			187	"Not seated"	"Not seated"	"UDSR"	"Not seated"	"Not Seated"	"Radical"													.865	.577	.474	.955	.0356736	.2705248	-.036	-.032	.936	.016	-.477																				3	"favor school aid"	0
365	"Dixmier"	216	202	188	"Act. Pays Soc."	"Ind. Paysan"	"IPAS"	"Right"	"Right"	"Right"	.808	.381	.786	.954	.3165168	1.094837	.846	.908	-.241	.954	.62928	-.0921053	.868	.848	.202	.992	.5618592	-.170936	-.361	.349	.95	.002	-.344									3	2								1	1			
366	"Djemad"	217			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.989	-.861	-.508	1	-1.027382	-.0985872													.587	0	1	.16	.654																						
367	"Doize"			189	"Not seated"	"Not seated"	"Not seated"	"Not seated"	"Not Seated"	"Not Seated"																																													
368	"Dominjon"	218			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.831	.658	.083	.965	.5240688	-.1997688													-.485	-.111	.956	.039	-.481											1	"dissident"	0									
369	"Dommergue"		203		"Not seated"	"Ind. Paysan"	"Not seated"	"Not seated"	"Right"	"Not Seated"							.903	.933	.079	.984	.791616	-.0153509							-.482	.569	.984	.015	-.329										0												
370	"Dorey"		204	190	"Not seated"	"MRP"	"MRP"	"Not seated"	"Christian Democrat"	"Christian Democrat"							.786	.745	.422	.935	.386688	.029057	.909	.619	.673	.98	.3166032	.193232	-.531	-.047	.955	.024	-.542			2	2																		
371	"Dorgeres"			191	"Not seated"	"Not seated"	"Non Inscrit"	"Not seated"	"Not Seated"	"Non-Affiliated"													.738	.862	-.507	.931	.2853888	-.8517072	.197	.532	.931	.01	.24																						
372	"Douala"	219	205	192	"MRP"	"MRP"	"Ind. Outremer"	"Christian Democrat"	"Christian Democrat"	"Right"	.894	.797	-.06	.991	.5526072	-.2698176	.69	.653	.376	.871	.244416	.0921053	.716	.555	-.008	.932	.0059456	-.1070208	-.529	-.106	.931	.002	-.522			2								2	"not dissident"	0									
373	"Douteau"	220			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.99	-.859	-.511	1	-1.027382	-.4358592													.587	0	1	.464	.654																						
374	"Doutrellot"	221	206	193	"Socialiste"	"Socialiste"	"Socialiste"	"Socialist"	"Socialist"	"Socialist"	.95	.697	-.717	.982	.4592088	-.8146416	.926	.241	.451	1	-.660288	.1951754	.952	.281	.96	1	-.0564832	.6644208	-.102	-.807	.994	.009	-.11	0	0																				
375	"Doyen"	222			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.957	-.456	-.89	.992	-.674544	-.3917544													.27	.34	.992	.501	.288																						
376	"Draveny"	223	207		"Socialiste"	"Socialiste"	"Not seated"	"Socialist"	"Socialist"	"Not Seated"	.95	.697	-.717	.982	.4592088	-.8146416	.946	.245	.627	1	-.663936	.216557							-.155	-.78	.994	.073	-.136																						
377	"Dreyfus-S."	224		194	"Progressiste"	"Not seated"	"Progressiste"	"Other"	"Not Seated"	"Other"	.977	-.674	-.739	.994	-.7705368	-.2438736							.927	-.614	-.789	.985	-1.025616	-.8294112	.774	-.149	.989	.222	.742																						
378	"Dronne"		208	195	"Not seated"	"RPF, URAS, RS"	"Rep. Soc."	"Not seated"	"Gaullist"	"Gaullist"							.823	.661	-.751	.923	.195168	-.214364	.747	.791	-.345	.874	.1976912	-.2586336	-.016	.373	.896	.004	.101							1	2														
379	"Dubois"	225	209	196	"Rep. Dem. Soc."	"Socialiste"	"Not seated"	"Right"	"Socialist"	"Not Seated"	.758	.274	.96	.987	.3424608	1.229746	.946	.245	.627	1	-.663936	.216557							.165	-.461	.913	.002	-.039														3	4							
380	"Duchoud"			197	"Not seated"	"Not seated"	"Uff (Poujade)"	"Not seated"	"Not Seated"	"Poujadist"													.924	.963	-.268	1	.4563248	-.698608	.197	.51	1	.081	.186																						
381	"Duclos J"		210	198	"Not seated"	"Communiste"	"Communiste"	"Not seated"	"Communist"	"Communist"							.97	-.944	-.33	1	-1.056096	-.1929825	.991	-.847	-.532	1	-1.208443	-.5009168	.929	-.356	1	.013	.804																						
382	"Duclos Jac."	226			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.989	-.864	-.504	1	-1.027382	-.4358592													.587	0	1	.441	.654																						
383	"Duclos Jean"	227			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.989	-.861	-.508	1	-1.027382	-.4358592													.587	0	1	.463	.654																						
384	"Ducos"		211	199	"Not seated"	"Radical-Soc."	"Radical-Soc."	"Not seated"	"Radical"	"Radical"							.643	.595	.641	.867	.366624	.3201754	.825	.554	.415	.947	.0832384	.4176784	-.616	-.391	.854	.011	-.532					1	0														0	"favor school aid"	0
385	"Ducreux"		212		"Not seated"	"Radical-Soc."	"Not seated"	"Not seated"	"Radical"	"Not Seated"							.746	.743	.138	.942	.974016	-.1134868							-.394	.922	.923	.132	-.346																						
386	"Duforest"	228			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.928	.817	.241	.997	.5811456	-.1634472													-.507	-.064	.994	.064	-.496											2	"not dissident"	0									
387	"Dufour"	229	213	200	"Communiste"	"Communiste"	"Communiste"	"Communist"	"Communist"	"Communist"	.989	-.861	-.508	1	-1.027382	-.4358592	.965	-.943	-.333	1	-.997728	-.1787281	.992	-.843	-.539	1	-1.208443	-.3879504	.802	-.334	1	.013	.805																						
388	"Dumas"	230	214	201	"MRP"	"MRP"	"UDSR"	"Christian Democrat"	"Christian Democrat"	"Radical"	.719	.58	-.069	.922	.5266632	-.207552	.666	.667	.332	.873	.384864	.0202851	.696	.476	-.175	.902	-.1397216	-.0460784	-.489	-.05	.862	.006	-.522			1	1							1	"not dissident"	1							0	"favor school aid"	0
389	"Dumet"	231			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.989	-.861	-.508	1	-1.027382	-.4358592													.587	0	1	.468	.654																						
390	"Dumortie"			202	"Not seated"	"Not seated"	"Socialiste"	"Not seated"	"Not Seated"	"Socialist"													.947	.356	.935	1	0	.5767232	-.147	-.719	1	.047	-.15																						
391	"Dupont"			203	"Not seated"	"Not seated"	"Communiste"	"Not seated"	"Not Seated"	"Communist"													.992	-.846	-.534	1	-1.208443	-.3879504	.766	0	1	.251	.826																						
392	"Duprat"	232		204	"Communiste"	"Not seated"	"Communiste"	"Communist"	"Not Seated"	"Communist"	.975	-.858	-.342	.997	-.7705368	-.2438736							.992	-.844	-.537	1	-1.208443	-.3879504	.774	-.149	.998	.182	.791																						
393	"Dupraz"	233	215	205	"MRP"	"MRP"	"MRP"	"Christian Democrat"	"Christian Democrat"	"Christian Democrat"	.922	.809	.21	.977	.6330336	-.0155664	.821	.784	.419	.952	.4104	.0515351	.85	.649	.585	.969	.3017392	.274984	-.523	-.035	.961	.005	-.557			3	3							3	"not dissident"	0									
394	"Dupuis"	234			"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.942	.857	.232	.997	.5811456	-.1634472													-.535	-.049	.997	.048	-.54											2	"not dissident"	0									
395	"Dupuy M'eau"	236			"Radical-Soc."	"Not seated"	"Not seated"	"Radical"	"Not Seated"	"Not Seated"	.814	.544	.362	.963	.5007192	.4358592													-.527	.074	.929	.006	-.52																0	0					
396	"Dupuy Marc"	235	216	206	"Communiste"	"Communiste"	"Communiste"	"Communist"	"Communist"	"Communist"	.989	-.861	-.508	1	-1.027382	-.4358592	.965	-.943	-.333	1	-.997728	-.1787281	.992	-.845	-.535	1	-1.208443	-.3879504	.802	-.334	1	.013	.805																						
397	"Duquesne"	237	217	207	"MRP"	"MRP"	"MRP"	"Christian Democrat"	"Christian Democrat"	"Christian Democrat"	.909	.821	.174	.994	.5811456	-.1634472	.782	.747	.401	.944	.384864	.0202851	.912	.603	.734	.981	.289848	.2764704	-.516	-.077	.974	.024	-.506			1	2							2	"not dissident"	0									
398	"Durbet"		218	208	"Not seated"	"RPF, URAS, RS"	"Rep. Soc."	"Not seated"	"Gaullist"	"Gaullist"							.821	.654	-.729	.931	.171456	-.1622807	.743	.748	.049	.896	.4771344	-.0267552	-.037	.35	.941	.002	-.033							1	2														
399	"Durroux"	238	219	209	"Socialiste"	"Socialiste"	"Socialiste"	"Socialist"	"Socialist"	"Socialist"	.944	.704	-.71	.979	.4592088	-.8146416	.949	.245	.614	1	-.663936	.216557	.946	.278	.96	1	-.0237824	.661448	-.149	-.79	.994	.008	-.127	0	2																				
400	"Dusseaulx"	239	220		"MRP"	"Not seated"	"Not seated"	"Christian Democrat"	"Not Seated"	"Not Seated"	.766	.208	.618	.958	-.1712304	1.154508													-.048	.366	.94	.002	-.023											2	"not dissident"	0									
401	"Dutard"	240			"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"	"Not Seated"	.989	-.861	-.508	1	-1.027382	-.4358592													.587	0	1	.464	.654																						
402	"Duveau"	241	221	210	"Non Inscrit"	"MRP"	"UDSR"	"Christian Democrat"	"Radical"	"Radical"	.911	.786	.215	.987	.5811456	-.1634472	.789	.658	.328	.924	.271776	.1058114	.717	.486	.072	.931	-.1025616	.11148	-.51	-.138	.917	.002	-.505					0	2					3	"not dissident"	0							0		0
403	"Duvernois"	242	222	211	"Communiste"	"Communiste"	"Communiste"	"Communist"	"Communist"	"Communist"	.989	-.861	-.508	1	-1.027382	-.4358592	.965	-.943	-.333	1	-.997728	-.1787281	.992	-.844	-.537	1	-1.208443	-.3879504	.802	-.334	1	.014	.805																						
404	"Eartolin"			34	"Not seated"	"Not seated"	"Communiste"	"Not seated"	"Not Seated"	"Communist"													.992	-.844	-.537	1	-1.208443	-.3879504	.766	0	1	.253	.826																						
405	"Elain"	243	223		"MRP"	"MRP"	"Not seated"	"Christian Democrat"	"Christian Democrat"	"Not Seated"	.831	.647	.312	.968	.5655792	.0441048	.771	.713	.272	.921	.375744	.0093202							-.498	-.036	.947	.005	-.481			1	0							2	"not dissident"	1									
406	"Engel"			212	"Not seated"	"Not seated"	"MRP"	"Not seated"	"Not Seated"	"Christian Democrat"													.908	.607	.717	.98	.3017392	.274984	-.587	-.122	.987	.1	-.561																						
407	"Errecart"	244	224		"MRP"	"MRP"	"Not seated"	"Christian Democrat"	"Christian Democrat"	"Not Seated"	.903	.673	.357	.984	.5655792	.0570768	.772	.781	.161	.977	.370272	.002193							-.511	-.014	.98	.012	-.51											2	"not dissident"	1									
408	"Estachy"		225	213	"Not seated"	"Communiste"	"Communiste"	"Not seated"	"Communist"	"Communist"							.965	-.943	-.333	1	-.997728	-.1787281	.992	-.841	-.541	1	-1.208443	-.5009168	.803	-.335	1	.012	.804																						
409	"Estebe"		226		"Not seated"	"Rep. Indep."	"Not seated"	"Not seated"	"Right"	"Not Seated"							.797	.89	-.202	.933	.815328	-.0932018							-.309	.694	.94	.078	-.315									1	1												
410	"Estradere"		227		"Not seated"	"Communiste"	"Not seated"	"Not seated"	"Communist"	"Not Seated"							.965	-.943	-.333	1	-.997728	-.1787281							.828	-.359	1	.108	.822																						
411	"Eudier"			214	"Not seated"	"Not seated"	"Communiste"	"Not seated"	"Not Seated"	"Communist"													.992	-.844	-.536	1	-1.208443	-.5009168	.766	0	1	.251	.826																						
412	"Evrard"	245	228	215	"Socialiste"	"Socialiste"	"Socialiste"	"Socialist"	"Socialist"	"Socialist"	.95	.698	-.716	.982	.4592088	-.8146416	.945	.245	.627	1	-.663936	.216557	.95	.356	.935	1	0	.5767232	-.151	-.761	.995	.014	-.129	1	2																				
413	"Fabray"		236		"Not seated"	"RPF, URAS, RS"	"Not seated"	"Not seated"	"Gaullist"	"Not Seated"							.802	.807	-.591	.956	.452352	-.2505482							.021	.708	.959	.044	-.03																						
414	"Fabre"	246	229		"Radical-Soc."	"Radical-Soc."	"Not seated"	"Radical"	"Radical"	"Not Seated"	.843	.474	.581	.98	.4618032	.4721808	.793	.645	.765	.958	.38304	.3070175							-.932	-.278	.895	.005	-.918					2	0											1					
